File,LipidClass,LipidSpecies,Adduct,Label,CCS
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:1,[M+NH4],heavy,270.26
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:1,[M+Na],heavy,269.4
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:2,[M+NH4],light,267.01
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:2,[M+Na],light,263.37
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:2,[M+NH4],heavy,267.79
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:2,[M+Na],heavy,265.27
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:3,[M+NH4],light,261.49
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:3,[M+Na],light,262.28
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:3,[M+NH4],heavy,263.11
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:3,[M+Na],heavy,264.73
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:4,[M+NH4],light,257.35
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:4,[M+Na],light,258.42
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:4,[M+NH4],heavy,258.42
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:4,[M+Na],heavy,260.87
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:5,[M+NH4],light,253.76
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:5,[M+Na],light,255.94
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:5,[M+NH4],heavy,255.66
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:5,[M+Na],heavy,257.57
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:6,[M+NH4],light,252.11
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:6,[M+Na],light,253.18
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:6,[M+NH4],heavy,252.35
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 36:6,[M+Na],heavy,254.25
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 39:0,[M+NH4],light,287.84
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 39:0,[M+NH4],heavy,289.44
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 40:0,[M+NH4],light,289.93
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,DG,DG 40:0,[M+NH4],heavy,293.16
